"","this_player","min_age","max_age","num_years","num_teams","pts_prime","max_avg_pts"
"42.739","Chris Bosh",19,31,12,2,25,"24"
"42.742","Jim Bostic",25,25,0,1,25,"6.5"
"42.745","Lawrence Boston",23,23,0,1,23,"4.3"
"42.748","Tom Boswell",22,30,8,6,26,"Did Not Play (other pro league—Italy)"
"42.752","Chris Boucher",25,25,0,1,25,"0"
"42.755","Ruben Boumtje-Boumtje",23,25,2,1,23,"1.2"
"42.758","Don Boven",24,27,3,6,24,"Did Not Play (other pro league—NPBL)"
"42.761","Cal Bowdler",22,24,2,1,23,"3.2"
"42.764","Bruce Bowen",25,37,12,5,33,"8.2"
"42.767","Ryan Bowen",24,34,10,5,26,"Did Not Play (other pro league—Spain, Israel)"
"42.770","Tommie Bowens",27,29,2,3,27,"6.1"
"42.773","Anthony Bowie",25,34,9,5,28,"Did Not Play (other pro league—Italy)"
"42.776","Sam Bowie",23,33,10,4,25,"Did Not Play (injury—leg)"
"42.779","Orbie Bowling",28,28,0,1,28,"1.9"
"42.782","Ira Bowman",26,28,2,2,28,"3.3"
"42.786","Nate Bowman",23,28,5,4,27,"3.1"
"42.789","Donnie Boyce",22,23,1,1,22,"3"
"42.792","Dennis Boyd",24,24,0,1,24,"1.2"
"42.795","Freddie Boyd",22,27,5,3,22,"10.5"
"42.798","Ken Boyd",22,22,0,1,22,"3.2"
"42.801","Earl Boykins",22,35,13,12,30,"Did Not Play"
"42.804","Harry Boykoff",27,28,1,4,27,"12.8"
"42.807","Winford Boynes",21,23,2,2,21,"9.3"
"42.810","Cedric Bozeman",23,23,0,1,23,"1.1"
"42.813","Steve Bracey",22,24,2,2,23,"7.3"
"42.816","Craig Brackins",23,24,1,1,23,"2.7"
"42.819","Gary Bradds",22,28,6,7,26,"Did Not Play"
"42.822","Alex Bradley",22,22,0,1,22,"3.5"
"42.825","Alonzo Bradley",24,26,2,1,24,"7"
"42.828","Avery Bradley",20,27,7,4,26,"16.3"
"42.831","Bill Bradley",26,26,0,1,26,"3.8"
"42.833","Bill Bradley",24,33,9,1,29,"16.1"
"42.836","Charles Bradley",22,24,2,2,23,"3.6"
"42.839","Dudley Bradley",22,31,9,9,22,"Did Not Play (other pro league—CBA)"
"42.842","Jim Bradley",21,23,2,2,21,"8.3"
"42.845","Joe Bradley",21,21,0,1,21,"1.9"
"42.848","Michael Bradley",22,26,4,6,23,"5"
"42.852","Shawn Bradley",21,32,11,4,24,"14.6"
"42.855","Tony Bradley",20,20,0,1,20,"0.9"
"42.858","Mark Bradtke",28,28,0,1,28,"1.6"
"42.860","Marques Bragg",25,25,0,1,25,"2.5"
